2.77 1.58 1.21 15/361 6411
3.42 3.69 2.92 9/362 6630
4.07 3.93 3.49 5/363 6794
1.96 2.10 2.57 4/325 7131
1.96 1.97 2.17 3/324 7453
19.72 12.48 6.50 22/330 7850
2.00 3.33 5.28 3/308 8014
8.13 5.04 4.38 13/320 8971
9.71 9.00 7.30 13/320 9132
9.60 9.23 8.49 11/319 9308
9.65 9.15 8.85 13/320 9471
9.51 9.18 9.02 6/320 9645
7.72 8.54 8.87 8/318 9806
9.51 9.16 9.05 10/319 9980
7.62 8.36 8.80 9/315 10564
7.62 7.64 8.09 9/315 10741
7.04 6.95 7.34 9/316 10904
6.85 7.08 7.18 9/316 11112
6.52 6.70 6.90 10/316 11274
6.36 6.40 6.66 9/319 11471
5.68 6.44 6.62 10/316 11657
20.61 12.37 8.00 22/329 12747
20.95 17.52 13.28 24/328 12989
21.05 17.43 13.73 24/329 13203
21.00 20.85 18.28 22/328 13366
21.72 21.27 20.10 22/329 13566
21.00 21.01 20.69 23/329 13747
21.02 21.02 20.93 22/329 13962
21.00 21.00 21.00 22/328 14124
20.99 21.00 21.00 22/329 14301
21.00 21.01 21.00 22/329 14462
20.97 19.80 20.07 22/328 14677
21.00 20.96 20.68 22/328 14838
21.17 19.92 20.29 23/335 15228
20.71 14.69 15.58 22/366 15739
20.86 16.85 15.86 23/329 16320
21.00 19.22 17.16 22/329 16863
21.02 20.96 19.61 22/329 17041
21.55 17.28 17.01 23/330 17555
19.82 16.04 14.64 22/367 17966
20.42 19.88 17.69 22/341 18228
20.39 20.30 19.37 22/343 18450
20.75 20.59 20.08 21/341 18649
4.58 13.41 17.62 2/315 18906
4.05 4.52 9.19 5/314 19146
4.06 4.08 5.98 5/314 19348
2.00 2.37 3.90 3/329 19543
14.83 6.14 4.16 22/328 19716
2.03 6.53 8.22 3/309 19881
2.02 2.24 4.34 4/309 20066
3.96 3.81 3.93 5/314 20259
4.17 4.06 4.01 5/313 20461
2.01 2.68 3.40 3/329 20660
2.00 2.04 2.51 3/330 20836
2.50 9.86 9.24 4/309 20999
2.00 2.37 4.72 3/309 21182
23.01 17.26 10.19 22/377 21774
17.45 14.81 12.33 17/1448 23501
13.09 13.64 13.57 24/1444 23998
14.67 13.39 13.37 13/1444 24487
15.41 14.09 13.88 34/1444 24961
15.44 15.39 14.54 13/1443 25460
10.05 13.50 14.40 13/1444 25952
14.95 14.86 14.37 22/1445 26504
16.79 14.57 14.20 9/1445 26974
16.63 16.41 15.21 13/1443 27474
11.47 14.28 14.69 42/1444 27934
2.50 7.79 11.35 3/311 28577
2.00 2.28 5.53 3/312 28789
6.51 4.98 4.62 4/316 29461
7.06 6.79 5.96 22/332 31083
21.64 20.00 14.13 23/352 32094
21.43 21.36 18.66 22/349 1101
21.16 21.31 20.37 22/350 3659
21.15 21.21 20.93 22/351 7874
8.12 12.54 17.35 4/317 20668
7.64 7.28 11.00 13/324 22380
6.47 6.75 8.43 8/319 23877
9.19 7.84 7.69 22/332 25720
5.96 6.17 6.77 4/315 27438
2.18 6.00 8.26 4/314 27721
5.73 5.80 6.30 3/314 28825
6.01 6.26 6.29 3/313 30661
20.75 15.89 10.76 22/366 8232
21.18 20.91 17.24 22/349 11117
3.81 8.88 14.03 5/321 32016
3.77 3.96 7.61 5/317 32391
3.80 3.76 5.16 6/318 317
3.63 3.68 4.20 5/317 691
3.29 3.28 3.63 5/345 1074
20.98 15.58 9.44 22/365 1435
21.00 20.71 16.63 22/366 1611
20.42 20.54 19.07 22/364 1768
21.00 20.97 20.24 22/365 1942
20.69 20.64 20.49 22/366 2103
21.00 20.95 20.78 22/366 2283
20.00 20.17 20.49 21/365 2441
20.32 20.03 20.16 22/366 2614
21.13 21.01 20.75 22/366 2775
21.11 21.00 20.89 22/366 2946
20.55 20.74 20.76 22/366 3150
20.04 20.07 20.30 22/365 3322
20.00 19.92 20.00 21/366 3481
20.12 20.18 20.08 21/364 3651
19.54 19.76 19.91 21/365 3810
20.02 20.02 20.00 21/365 3983
20.01 20.01 20.00 21/365 4141
20.00 19.92 19.96 22/366 4313
20.08 19.82 19.85 21/366 4474
20.02 20.05 20.00 21/366 4647
19.73 19.59 19.82 21/365 4807
20.06 20.02 19.97 21/364 4977
17.93 18.14 18.94 19/366 5137
17.91 17.91 18.28 19/366 5311
18.25 18.13 18.12 19/365 5469
18.13 18.01 18.01 20/365 5643
17.85 17.64 17.80 19/364 5801
18.00 17.97 17.93 19/365 5978
17.63 17.46 17.71 19/364 6137
18.04 17.98 17.91 19/366 6332
17.35 17.77 17.89 18/365 6492
15.37 16.24 16.99 16/365 6665
13.99 14.04 15.07 15/368 6856
13.82 13.84 14.28 15/366 7028
11.95 12.36 13.23 13/364 7186
9.91 10.91 11.98 11/364 7360
10.03 10.05 10.75 11/366 7520
8.89 9.07 9.74 10/366 7696
4.92 5.70 7.49 5/366 7856
5.95 4.88 5.52 3/321 8467
6.60 7.12 6.61 22/334 10270
21.44 20.54 15.31 22/354 11210
21.34 21.35 19.11 22/351 12737
21.38 21.36 20.54 23/352 15507
21.00 21.12 20.97 22/352 19908
7.75 12.09 17.08 16/342 2030
21.06 15.19 14.04 22/351 10265
2.35 4.33 9.24 6/318 20807
3.44 3.69 5.75 5/317 21180
3.74 3.62 4.37 5/318 21573
3.80 3.71 3.93 5/317 21946
3.18 3.35 3.61 5/347 22320
18.12 10.68 6.72 22/366 22673
15.10 15.68 12.76 19/366 22843
3.29 7.55 10.77 3/365 23002
7.07 4.68 6.22 3/319 23408
9.07 7.65 7.07 9/320 25210
21.53 20.08 14.63 22/355 26247
21.42 21.36 18.90 22/352 27668
21.47 21.35 20.44 22/352 30265
21.26 21.27 20.98 22/352 2110
8.82 14.22 18.35 3/324 17060
20.41 13.65 13.83 21/348 23386
2.25 4.83 9.84 3/313 3322
5.37 6.30 7.79 22/334 4997
21.52 18.49 13.08 23/354 6264
21.43 21.29 18.31 22/354 7483
21.12 21.31 20.23 22/352 9626
21.29 21.31 20.94 22/353 13303
21.13 21.21 21.11 22/352 19513
10.40 9.43 13.25 3/315 29959
11.65 8.21 9.88 22/335 31830
6.95 8.10 10.22 3/315 32413
20.50 13.78 11.03 22/354 7503
7.59 16.38 15.61 2/314 25059
2.00 2.70 7.15 3/316 25239
2.00 2.03 3.93 3/317 25403
1.00 1.25 2.35 2/280 25608
1.00 1.00 1.49 2/280 25721
1.00 1.00 1.16 2/280 25850
1.00 1.00 1.04 2/279 25962
1.00 1.00 1.00 2/280 26087
1.00 1.00 1.00 2/280 26200
1.01 1.01 1.00 2/280 26328
1.00 1.00 1.00 2/279 26442
1.00 1.00 1.00 2/279 26566
1.00 1.00 1.00 2/279 26679
1.00 1.00 1.00 3/280 26854
1.00 1.00 1.00 2/280 27204
1.00 1.00 1.00 2/280 27328
1.00 1.00 1.00 2/280 27441
1.00 1.00 1.00 3/280 27569
1.00 1.00 1.00 2/280 27682
1.00 1.00 1.00 3/280 27808
1.00 1.00 1.00 2/280 27921
1.00 1.00 1.00 2/281 28050
1.00 1.00 1.00 2/280 28163
1.00 1.00 1.00 2/280 28288
1.00 1.00 1.00 2/280 28401
1.00 1.00 1.00 2/280 28529
1.00 1.00 1.00 2/279 28642
