1.77 1.33 3.37 3/336 25479
2.00 1.98 2.50 3/335 25683
3.48 3.39 3.06 6/376 26023
3.71 3.76 3.49 4/376 26199
1.87 2.27 2.88 3/340 26464
1.93 1.98 2.29 3/322 26800
3.34 2.41 2.23 8/338 27028
2.06 6.54 6.95 3/317 27247
2.14 2.28 3.89 4/318 27413
9.03 7.85 6.18 8/328 28369
7.92 8.06 7.48 14/327 28533
9.77 8.78 8.16 13/328 28707
8.01 8.47 8.37 10/330 28873
9.18 8.59 8.47 13/328 29048
8.85 8.18 8.17 6/329 29209
7.03 8.08 8.16 13/327 29380
7.24 7.45 7.75 9/324 29967
6.33 6.85 7.23 9/324 30190
6.95 6.68 6.85 9/324 30354
6.17 6.47 6.68 11/324 30527
6.75 6.58 6.58 9/324 30687
6.51 6.34 6.40 9/323 30863
2.02 3.73 5.26 3/321 31657
16.79 17.23 11.52 3/318 32134
2.36 8.84 10.74 3/318 32379
21.00 19.80 15.84 22/338 32573
21.00 20.96 19.08 22/338 32736
21.01 21.01 20.31 23/337 481
21.13 21.11 20.82 22/338 665
21.02 21.01 20.97 22/336 915
21.00 21.00 21.00 22/337 1096
21.00 21.00 21.00 22/336 1281
21.00 21.00 21.00 22/337 1452
21.02 20.55 20.32 22/338 1679
21.00 21.05 20.84 22/338 1841
9.83 17.51 19.48 5/325 2457
21.05 18.54 16.90 22/376 2757
13.54 15.47 15.65 22/338 3624
21.01 20.39 18.19 22/338 3869
8.80 17.43 18.74 3/317 4060
2.77 9.18 13.66 2/333 4677
11.68 15.65 14.89 4/352 5016
19.77 19.79 18.09 21/351 5253
20.66 20.37 19.44 22/351 5466
20.58 20.42 20.03 22/353 5671
4.06 7.36 13.71 5/323 5978
4.11 4.20 7.68 6/323 6168
3.87 3.96 5.34 5/321 6370
2.00 2.12 3.32 3/338 6556
21.08 15.58 8.80 22/337 6735
2.00 3.63 6.41 3/318 6905
2.91 2.29 3.73 5/323 7101
3.99 3.96 3.94 5/324 7290
4.01 4.01 4.00 5/321 7488
2.00 2.23 2.99 4/338 7683
20.36 11.48 6.17 22/338 7857
2.04 4.92 7.23 3/318 8026
2.00 2.13 3.96 3/318 8210
6.84 12.53 10.42 3/338 8941
12.68 13.57 12.26 3/1454 10637
15.03 15.49 14.28 13/1453 11175
12.79 13.73 13.93 3/1453 11718
15.70 15.97 14.99 22/1453 12279
13.88 13.99 14.50 11/1453 12833
15.81 14.37 14.58 14/1454 13383
15.22 15.87 15.40 17/1454 13972
15.43 14.87 14.74 12/1454 14508
11.93 12.20 13.37 17/1447 15257
2.00 2.54 6.40 3/322 15546
5.88 2.97 3.97 11/337 15838
5.34 6.77 6.18 22/341 17824
21.33 20.11 14.53 22/363 18878
21.35 21.31 18.81 23/360 20348
21.23 21.32 20.42 22/359 23181
21.16 21.18 20.93 22/359 27514
9.75 13.01 17.39 6/326 7821
10.84 10.30 12.87 3/320 9970
10.31 9.61 10.53 4/323 11933
10.71 9.26 9.85 22/341 14124
7.42 10.10 11.46 22/342 14921
6.45 7.85 9.52 3/322 16923
