1.83 1.29 1.11 3/322 23965
2.07 2.00 1.70 3/324 24150
4.01 3.65 2.80 5/365 24509
4.55 4.10 3.53 5/363 24666
1.99 2.32 2.90 3/328 24919
16.95 7.59 4.42 22/330 25259
2.00 4.11 5.85 3/307 25438
2.00 2.09 3.44 3/310 26360
8.67 8.83 7.07 8/319 26555
9.78 9.35 8.48 13/318 26713
9.74 9.27 8.91 5/318 26887
9.32 9.21 9.00 10/319 27051
8.48 8.88 8.96 14/319 27227
9.45 9.18 9.12 13/319 27384
9.26 8.94 8.98 9/319 27560
7.50 7.62 8.06 9/315 28145
7.03 7.06 7.41 9/316 28323
6.60 6.80 7.05 5/315 28482
6.51 6.51 6.74 9/316 28660
5.94 6.53 6.71 9/315 28824
6.67 6.79 6.77 9/315 29001
14.72 6.31 5.64 22/327 29804
20.32 15.18 11.98 22/328 30320
20.85 15.32 12.66 22/328 30523
21.09 20.76 17.88 23/329 30700
21.00 21.00 19.89 22/329 30858
21.01 21.00 20.62 22/328 31074
20.95 21.00 20.91 22/328 31256
21.00 21.00 21.00 22/329 31766
21.00 21.02 21.00 22/328 31932
21.00 21.05 21.03 22/327 32107
20.47 18.90 19.87 20/328 32307
21.00 20.91 20.60 23/329 32484
15.73 18.80 20.06 22/332 32711
14.67 9.63 14.38 22/366 951
18.60 13.90 14.90 22/327 1553
20.90 17.56 16.23 22/329 2116
21.00 20.86 19.23 22/327 2282
20.11 14.25 16.05 22/334 2720
19.09 13.04 13.41 22/367 3245
20.22 18.73 16.52 22/344 3532
20.11 20.30 18.93 22/345 3733
20.16 20.36 19.83 22/344 3950
20.35 20.47 20.20 20/341 4149
4.11 4.88 10.20 6/314 4451
4.17 4.13 6.38 5/313 4636
2.01 2.70 4.31 3/328 4849
2.00 2.03 2.86 3/330 5011
2.65 10.25 9.50 3/309 5190
2.00 2.40 4.84 3/309 5357
4.15 3.70 3.92 5/314 5565
4.09 4.04 4.01 5/314 5751
2.19 3.28 3.72 3/329 5972
2.00 2.05 2.63 3/329 6130
12.59 16.56 10.87 3/309 6307
2.00 2.70 5.34 4/309 6476
23.22 12.70 7.52 24/383 6943
13.49 14.34 12.12 36/1447 8680
14.04 14.99 14.26 3/1444 9156
15.30 14.85 14.57 23/1444 9648
15.45 13.42 13.66 16/1445 10151
21.32 15.41 14.30 12/1443 10630
13.29 14.11 14.06 29/1445 11135
12.60 12.88 13.69 30/1444 11617
14.33 14.10 14.20 14/1476 12174
16.42 15.93 15.30 16/1444 12615
15.52 14.11 14.62 12/1445 13113
9.61 12.64 13.98 15/1437 13705
2.23 2.87 7.14 3/313 14056
2.13 2.07 3.94 2/316 14271
9.27 8.18 6.70 22/333 16093
21.36 19.37 13.55 23/353 17248
21.34 21.21 18.42 23/352 18590
21.32 21.35 20.26 22/350 20883
21.14 21.18 20.87 23/351 24926
6.00 14.36 18.47 22/362 21629
6.89 8.32 12.40 22/332 7725
9.60 8.82 10.10 10/320 9472
7.17 7.79 8.76 22/332 11595
20.95 16.69 12.22 22/333 12841
9.90 9.54 10.10 3/313 14120
10.16 8.98 8.98 11/320 16150
21.10 19.85 15.33 23/351 26975
21.08 21.05 18.96 22/351 29536
3.70 5.12 10.70 6/317 16698
3.74 3.77 6.33 5/318 17088
3.66 3.64 4.65 6/317 17483
3.24 3.61 4.03 4/344 17891
8.92 5.54 4.83 17/367 18255
16.03 15.48 11.82 18/364 18411
16.20 15.73 14.08 19/365 18585
2.03 4.77 9.30 3/366 18745
6.71 6.26 6.92 6/318 19831
21.00 13.66 9.57 22/359 21457
21.43 21.05 16.95 22/352 22417
21.31 21.41 19.77 22/351 24240
21.40 21.36 20.78 22/352 27527
21.25 21.31 21.12 23/351 32635
7.02 9.48 14.81 3/314 13567
20.73 17.74 15.39 22/363 27730
3.79 4.06 8.07 5/318 32072
3.74 3.76 5.36 5/318 32443
3.57 3.62 4.26 5/317 379
3.55 3.64 3.88 5/318 755
8.78 4.77 4.05 3/346 1171
14.90 12.60 8.44 18/367 1529
12.62 13.50 11.96 14/366 1704
2.06 4.66 8.26 3/366 1865
8.67 5.60 5.73 22/340 2381
8.28 7.77 7.02 22/334 4223
21.59 20.42 15.14 22/355 5200
21.18 21.28 19.03 23/351 6686
21.25 21.29 20.45 22/351 9384
22.13 21.48 21.06 22/350 13738
10.18 13.72 17.85 11/338 28519
20.85 15.44 14.58 22/352 4946
2.02 4.08 9.16 3/313 14794
6.49 6.61 7.82 22/335 16635
21.44 19.56 14.26 22/356 17781
21.29 21.31 18.72 22/351 19110
21.39 21.44 20.44 22/352 21435
21.18 21.27 21.00 22/352 25458
6.89 16.59 19.48 2/316 14860
6.36 8.31 12.46 6/318 9430
20.57 14.22 12.16 22/335 11285
8.25 8.37 10.08 3/314 12254
20.60 16.45 12.67 22/364 24909
2.14 8.99 12.79 3/318 4714
2.00 2.33 6.07 3/317 4889
2.00 2.01 3.52 3/316 5051
1.00 1.11 2.05 2/279 5198
1.02 1.01 1.38 2/279 5312
1.00 1.00 1.12 5/280 5440
1.00 1.00 1.02 2/280 5596
1.00 1.00 1.00 2/280 5724
1.00 1.00 1.00 3/279 5837
1.00 1.00 1.00 2/280 5965
